Date,Country,Sentiment
2022-12-11,USA,-1.0899814170987849
2025-06-12,USA,-1.2514143076087831
2022-08-16,Saudi Arabia,0.800535899720319
2025-12-15,Russia,-1.7898496828545167
2022-06-02,UAE,1.8578433832581369
2021-09-12,Iraq,-2.7046769586864539
2023-07-27,Saudi Arabia,0.05495920826326546
2021-12-01,Saudi Arabia,-0.37043663095348067
2024-12-29,USA,-1.1375395458387885
2020-10-04,Saudi Arabia,-0.66950234324343483
2024-08-24,USA,-0.89959562990423136
2024-08-05,China,1.1278723135868454
2023-12-19,USA,-1.0337291124694945
2025-11-12,USA,-0.6825906708249847
2025-09-26,China,1.435618872347747
2023-04-08,UAE,0.86558679872318267
2026-01-06,Iraq,-1.1802774164028771
2025-10-24,China,1.4193000953538486
2025-08-31,Saudi Arabia,0.49122365055786044
2026-04-19,USA,-1.6690507157808518
2022-03-04,Iraq,-2.0565834876654447
2020-07-28,Iraq,-2.9936153240813281
2025-03-09,China,1.5169665319270287
2023-04-18,USA,-1.1166179940712491
2021-06-06,USA,-1.0977861242309954
2020-03-18,Russia,-1.8502756562018092
2025-11-26,Saudi Arabia,1.4068050798604448
2024-08-07,Canada,-0.37959073601101417
2023-04-09,Russia,-2.1196214237202322
2020-06-18,Russia,-1.7070094368862814
2024-07-30,Canada,-0.41347678399871984
2026-01-18,Canada,0.15641850577920974
2020-05-02,Iraq,-2.7521072942221423
2021-04-21,Iraq,-1.9174956621078572
2025-10-25,Iraq,-1.056247710942434
2022-06-15,UAE,1.3902894969513295
2021-07-17,Iraq,-3.4373099089162031
2025-08-31,Canada,0.11976143974539802
2023-11-18,Saudi Arabia,-0.83042500382754292
2020-05-21,Saudi Arabia,-1.1701190502962973
2020-05-12,Russia,-2.2743457575104773
2025-06-01,Iraq,-0.3227288597574437
2025-03-15,China,0.76557214442209343
2020-06-10,UAE,0.34193633748133456
2020-09-10,USA,-1.373300214034707
2024-05-11,USA,-0.79384559700085688
2020-09-03,China,0.1393829857296576
2026-04-01,Iraq,-3.1631903051006458
2022-12-28,Saudi Arabia,0.640992749365278
2022-04-05,Canada,0.11177394226999779
2021-07-13,USA,-1.1111618573242523
2022-10-24,China,1.2276904547387404
2022-10-23,UAE,1.4382746869457339
2022-09-05,Saudi Arabia,-0.78539926946919048
2020-02-07,Iraq,-3.8602876052712785
2022-01-24,Saudi Arabia,-1.706614142931526
2024-07-19,Canada,-0.46178758434252332
2022-08-16,USA,-0.992987943536641
2021-10-07,Russia,-1.3130015883021644
2021-11-28,Russia,-1.3775938654498288
2020-04-01,China,-1.1690875032037962
2023-09-07,Iraq,-0.77226894841180582
2025-02-02,China,1.2354229635136638
2020-11-16,Russia,-1.4684475266256873
2022-10-04,Iraq,-1.603738132198977
2021-07-08,Iraq,-3.211501378073006
2022-10-18,UAE,1.7746707045035055
2022-10-24,USA,-1.1076809737624642
2022-06-23,USA,-1.0265275351286343
2025-11-30,China,0.89778502635629454
2025-12-01,Saudi Arabia,1.3843450178143091
2023-01-28,Canada,-0.51617243345270369
2022-07-20,USA,-0.835587256696962
2024-06-01,Canada,-0.982574866226045
2024-08-20,USA,-0.75462003365523345
2025-02-22,China,1.1805226298160894
2020-09-02,USA,-1.3022255768454414
2022-07-02,Russia,-2.4078333202627564
2022-02-17,Iraq,-1.7080469415146879
2025-04-25,Canada,-0.073603398523653829
2025-04-17,China,1.0917294347616802
2026-01-16,China,1.2674031435350761
2024-02-27,Saudi Arabia,0.582475208837289
2022-04-09,Iraq,-2.8808241388998415
2020-05-29,USA,-2.0013787176275275
2022-12-02,Russia,-1.7700460115289844
2026-02-12,Canada,-0.69310250348475477
2024-10-25,USA,-0.98446138717350384
2025-05-22,Saudi Arabia,1.1143937043369903
2022-11-21,Saudi Arabia,0.49626125416762645
2020-01-03,USA,-2.0225192291228913
2024-06-09,USA,-0.66755216669169037
2024-03-11,Canada,-0.23665703533207016
2023-01-03,Saudi Arabia,1.1124489108250197
2026-03-24,Russia,-2.5578555056219781
2025-07-07,UAE,1.1777363942588581
2020-02-24,Saudi Arabia,-1.6485295445195978
2025-08-31,UAE,1.9787473547654229
2024-04-18,Iraq,-2.5743750448467324
2021-06-28,China,0.7654115099909734
2024-09-07,China,0.95266720447259812
2023-07-29,China,1.1816900732664701
2020-08-23,UAE,-2.3238047605670422
2023-04-25,UAE,0.80266627729034823
2021-07-29,USA,-0.85017166237207609
2025-02-12,USA,-0.70217831849940771
2024-03-14,Canada,-0.31088435103473627
2023-09-07,China,0.93123528708698833
2023-12-30,Canada,-0.61867553401554121
2021-08-02,Iraq,-2.5237558728032679
2021-09-19,Russia,-0.8481261109892686
2020-11-17,Russia,-1.4254899017146128
2025-04-10,China,0.56150481962239651
2025-04-01,USA,-1.0370727733192007
2020-11-03,China,0.438855446276801
2023-08-13,Russia,-2.8944008725075565
2025-10-19,Canada,0.479649563612217
2026-04-18,UAE,-0.24750746783890185
2021-10-19,UAE,2.0852895970254068
2025-08-19,Canada,-0.47551997435545723
2022-07-19,Canada,-0.17587582872278967
2025-07-31,China,0.99887195269992346
2026-03-03,China,1.4399374092707036
2024-05-24,Saudi Arabia,0.77893554759829375
2020-04-17,USA,-1.4892835204043724
2023-12-21,USA,-0.95014596247362682
2023-03-25,Canada,-0.16559566371373666
2022-07-09,USA,-1.2754984656456247
2023-06-13,Canada,-0.35365004474102874
2021-04-21,USA,-1.4845932400472226
2023-08-03,Canada,-0.065528659371538844
2022-06-10,UAE,0.43221383675627462
2022-01-11,UAE,0.87096650053293734
2021-07-17,USA,-1.5902626928932615
2024-04-11,Canada,-0.24944071228605993
2022-06-06,Iraq,-3.1965683743772306
2021-08-11,Canada,-0.66195601076627408
2024-10-12,USA,-1.191272329336174
2024-08-29,UAE,0.63932232740204542
2022-09-13,USA,-0.76903584563320049
2025-07-22,Russia,-2.355342267455335
2021-02-26,Iraq,-3.8817365053957378
2022-02-02,USA,-0.95304057762683547
2025-02-17,Russia,-1.7619015149633095
2023-09-06,Iraq,-1.1996769165887777
2024-02-21,USA,-1.0962565166729794
2026-01-15,USA,-1.1233179884833806
2024-05-01,Russia,-2.3233727544944776
2022-08-08,Iraq,-2.5739466771957167
2025-12-27,Saudi Arabia,0.17928070342027874
2025-06-14,China,1.1387781215837662
2020-05-10,USA,-1.8062006750196784
2023-05-15,UAE,1.4931994479150719
2024-10-28,Saudi Arabia,1.1216116487329579
2024-01-17,Iraq,-4.0673952628385193
2026-03-10,Saudi Arabia,-2.2867207153710889
2025-02-10,Russia,-1.950459179752617
2022-02-19,UAE,1.9941410597829035
2026-03-22,UAE,-1.5276520893625192
2025-07-06,Saudi Arabia,0.76666023491032076
2024-05-04,USA,-0.845442340279775
2023-03-06,China,1.4036459021104528
2021-09-24,Russia,-1.4915397447755485
2024-09-23,UAE,0.528313832516604
2020-11-09,Russia,-1.8212832729847197
2025-01-25,China,0.99717183843549417
2024-09-30,UAE,0.28718060010137236
2021-01-19,China,-0.19173270406019866
2025-12-29,Canada,-0.031194263690489069
2023-02-23,Iraq,-2.0093346334624171
2022-02-24,Iraq,-1.664691491914966
2023-01-21,Iraq,-1.7302802668338091
2022-07-02,Iraq,-2.6974375437045244
2020-02-22,Iraq,-3.140443480000267
2024-02-29,USA,-0.8014040474887606
2020-11-01,Saudi Arabia,-1.2573508428399645
2022-10-22,USA,-1.222043549754614
2022-06-29,Canada,-0.085950225830861954
2023-11-15,China,1.1821102959524716
2025-01-18,Canada,-0.12728895706437246
2026-02-12,China,1.282558538727423
2023-04-11,China,-0.611485665403585
2024-06-16,Canada,0.13823380393630216
2024-10-16,Saudi Arabia,0.77940047880869823
2021-12-17,Russia,-1.1522611023587386
2021-08-22,Russia,-1.1333356708696769
2025-07-27,Russia,-2.1353344334070008
2024-05-22,Russia,-1.9329063427849755
2023-01-09,USA,-1.1057568121804089
2023-01-09,Canada,-0.75147891623644858
2025-01-30,Iraq,-4.7095844127812159
2022-06-25,Iraq,-2.3583459844077272
2023-03-14,Russia,-2.08456642991953
2023-03-14,Saudi Arabia,1.3303049279700974
2024-06-20,Iraq,-2.7800936746894482
2022-01-06,Russia,-2.286294603840878
2023-05-08,Russia,-2.2796641375582234
2024-06-14,UAE,1.0353646094831341
2024-03-19,Iraq,-1.569449338415364
2021-10-01,Iraq,-2.7399029845019722
2022-05-17,China,0.28955899849804811
